level_0,index,content,score,clean_content,minimal_content,en_content,lang,lang_prob,star_sentiment,vader_sentiment,vader_score,roberta_sentiment,roberta_confidence,roberta_conf_neg,roberta_conf_neu,roberta_conf_pos
30533,53249,,3,"Very good, I hope that some training in conversations was allowed if a little in the free situation, and it would be better to clarify more details to explain the speech errors such as how the correct pronunciation of the letter in this case","very good, i hope that some training in conversation be allow if a little in the free situation, and it would be good to clarify more detail to explain the speech error such as how the correct pronunciation of the letter in this case","Very good, I hope that some training in conversations was allowed if a little in the free situation, and it would be better to clarify more details to explain the speech errors such as how the correct pronunciation of the letter in this case",en,0.9501418471336364,neutral,positive,0.8957,positive,0.7084146,0.0324767,0.25910872,0.7084146
30534,53250,,5,"The program is its form and sweet, I have not tried it yet, but why can I not choose my field in the study, when I click on it says something wrong, please clarify where the problem is.","the program be it be form and sweet, i have not try it yet, but why can i not choose my field in the study, when i click on it say something wrong, please clarify where the problem is.","The program is its form and sweet, I have not tried it yet, but why can I not choose my field in the study, when I click on it says something wrong, please clarify where the problem is.",en,0.9273110628128052,positive,negative,-0.5789,negative,0.73231524,0.73231524,0.25069472,0.01699009
30535,53251,,5,"The best application to learn English, pronunciation and spoke quickly, I advise everyone to download the application","the best application to learn english, pronunciation and speak quickly, i advise everyone to download the application","The best application to learn English, pronunciation and spoke quickly, I advise everyone to download the application",en,0.9316734671592712,positive,positive,0.6369,positive,0.9715982,0.0023951307,0.026006686,0.9715982
30536,53252,,1,A bad and very heavy program on the mobile and the interface of the application does not contain the Arabic language.,a bad and very heavy program on the mobile and the interface of the application do not contain the arabic language.,A bad and very heavy program on the mobile and the interface of the application does not contain the Arabic language.,en,0.8921987414360046,negative,negative,-0.5423,negative,0.92378324,0.92378324,0.070402175,0.0058145323
30537,53253,,1,"Why the screen suddenly closes and why he is weak in listening to my voice, I think the application needs a review of safety levels? I feel that the application is not safe","why the screen suddenly close and why he be weak in listen to my voice, i think the application need a review of safety levels? i feel that the application be not safe","Why the screen suddenly closes and why he is weak in listening to my voice, I think the application needs a review of safety levels? I feel that the application is not safe",en,0.950431227684021,negative,negative,-0.3624,negative,0.8801322,0.8801322,0.11332923,0.00653846
30538,53254,,1,"Your program is for the one who speaks the Englishman with its divorce, not to learn ..","your program be for the one who speak the englishman with it be divorce, not to learn.","Your program is for the one who speaks the Englishman with its divorce, not to learn ..",en,0.9330469965934752,negative,neutral,0.0,neutral,0.6440299,0.29988143,0.6440299,0.056088652
30539,53255,,5,Program,program,Program,en,0.8408110737800598,positive,neutral,0.0,neutral,0.5730773,0.14525239,0.5730773,0.28167027
30540,53256,,1,The app is not free and this is a deception. We can learn English from other platforms,the app be not free and this be a deception. we can learn english from other platform,The app is not free and this is a deception. We can learn English from other platforms,en,0.8652938008308411,negative,negative,-0.681,negative,0.80089486,0.80089486,0.18983956,0.009265546
30541,53257,,1,It is not good and I do not recommend it. There is no establishment of the English language and there is no Arab assistant and not beneficial to the children,it be not good and i do not recommend it. there be no establishment of the english language and there be no arab assistant and not beneficial to the child,It is not good and I do not recommend it. There is no establishment of the English language and there is no Arab assistant and not beneficial to the children,en,0.926950991153717,negative,negative,-0.8527,negative,0.9110629,0.9110629,0.080683656,0.008253499
30542,53258,,5,"The application is great, but it does not find Arabic language, please provide it","the application be great, but it do not find arabic language, please provide it","The application is great, but it does not find Arabic language, please provide it",en,0.8710594177246094,positive,positive,0.6705,negative,0.7115604,0.7115604,0.24268241,0.045757186
30543,53259,,1,Vry back no free I advise not to download it unfortunately not free and ask you a lot.,vry back no free i advise not to download it unfortunately not free and ask you a lot.,Vry back no free I advise not to download it unfortunately not free and ask you a lot.,en,0.9152753353118896,negative,positive,0.4588,negative,0.89292824,0.89292824,0.1006722,0.006399638
30544,53260,,5,An interesting program that studies you according to the path you choose according to a specific study plan,an interesting program that study you accord to the path you choose accord to a specific study plan,An interesting program that studies you according to the path you choose according to a specific study plan,en,0.9295945763587952,positive,positive,0.4019,neutral,0.48918322,0.0076115592,0.48918322,0.50320524
30545,53261,,4,"The best application than wonderful, I loved the splendor of my love, but if it is for free, it will be the best application that teaches the language in the world or the universe in general I loved it 💗 💗","the best application than wonderful, i love the splendor of my love, but if it be for free, it will be the best application that teach the language in the world or the universe in general i love it 💗 💗","The best application than wonderful, I loved the splendor of my love, but if it is for free, it will be the best application that teaches the language in the world or the universe in general I loved it 💗💗",en,0.7935248613357544,neutral,positive,0.9829,positive,0.98609227,0.0037374352,0.010170255,0.98609227
30546,53262,,4,"The app is really cool, but it is preferable to subscribe to it ....","the app be really cool, but it be preferable to subscribe to it.","The app is really cool, but it is preferable to subscribe to it ....",en,0.9799299240112304,neutral,neutral,0.2014,positive,0.8579072,0.020567408,0.12152544,0.8579072
30547,53263,,1,"A very monster application is not worth it or a star, even every need is closed with a subscription and also works in Net. I do not recommend downloading this application","a very monster application be not worth it or a star, even every need be close with a subscription and also work in net. i do not recommend download this application","A very monster application is not worth it or a star, even every need is closed with a subscription and also works in Net. I do not recommend downloading this application",en,0.9433854818344116,negative,negative,-0.4168,negative,0.93396914,0.93396914,0.05758389,0.008447023
30548,53264,,4,"Unfortunately, a universal and beautiful application, but not free, and free things are almost remembered and not much influencing","unfortunately, a universal and beautiful application, but not free, and free thing be almost remember and not much influencing","Unfortunately, a universal and beautiful application, but not free, and free things are almost remembered and not much influencing",en,0.9140630960464478,neutral,negative,-0.7473,negative,0.72967,0.72967,0.24462432,0.025705654
30549,53265,,5,The app is an excellent time. Help me learn English quickly and easily,the app be an excellent time. help me learn english quickly and easily,The app is an excellent time. Help me learn English quickly and easily,en,0.9394428730010986,positive,positive,0.8316,positive,0.9774169,0.002772439,0.019810632,0.9774169
30550,53266,,5,"A distinctive application, but unfortunately, paid and a simple free part","a distinctive application, but unfortunately, paid and a simple free part","A distinctive application, but unfortunately, paid and a simple free part",en,0.9154027700424194,positive,positive,0.3291,negative,0.48562992,0.48562992,0.45698795,0.057382192
30551,53267,,5,The best application to learn to speak ❤ ❤ 💖,the best application to learn to speak ❤ ❤ 💖,The best application to learn to speak ❤❤💖,en,0.9752103686332704,positive,positive,0.6369,positive,0.9695802,0.003280493,0.027139267,0.9695802
30552,53268,,4,I hope to add a free version without specification,i hope to add a free version without specification,I hope to add a free version without specification,en,0.6578537225723267,neutral,positive,0.7351,neutral,0.63146174,0.033719264,0.63146174,0.33481905
30553,53269,,5,Excellent to improve speech,excellent to improve speech,Excellent to improve speech,en,0.9155794382095336,positive,positive,0.765,positive,0.95513004,0.005929055,0.0389409,0.95513004
30554,53270,,2,Why does it open with me why. The robot appears to me and what opens how to open it,why do it open with me why. the robot appear to me and what open how to open it,Why does it open with me why. The robot appears to me and what opens how to open it,en,0.9399373531341552,negative,neutral,0.0,neutral,0.5702437,0.41462815,0.5702437,0.015128174
30555,53271,,5,Wonderful and very interesting learning for English and enjoyable in an easy and motivated style,wonderful and very interesting learning for english and enjoyable in an easy and motivated style,Wonderful and very interesting learning for English and enjoyable in an easy and motivated style,en,0.9515848755836488,positive,positive,0.9381,positive,0.9822927,0.0028781234,0.0148291495,0.9822927
30556,53272,,5,"Very sweet, even with free experimental copies, for me, very sufficient to study a day or a lesson even a day.","very sweet, even with free experimental copies, for me, very sufficient to study a day or a lesson even a day.","Very sweet, even with free experimental copies, for me, very sufficient to study a day or a lesson even a day.",en,0.979594349861145,positive,positive,0.7645,positive,0.95699066,0.0037523604,0.039256953,0.95699066
30557,53273,,5,"Wonderful and useful application, thanks to everyone who made it","wonderful and useful application, thanks to everyone who make it","Wonderful and useful application, thanks to everyone who made it",en,0.9395000338554382,positive,positive,0.8591,positive,0.9853234,0.0050589037,0.009617681,0.9853234
30558,53274,,1,Very bad ... the method of education is stupid and I do not recommend it,very bad. the method of education be stupid and i do not recommend it,Very bad ... the method of education is stupid and I do not recommend it,en,0.9603196978569032,negative,negative,-0.852,negative,0.9448003,0.9448003,0.0477676,0.0074320524
30559,53275,,5,It is very beautiful that you can save from it,it be very beautiful that you can save from it,It is very beautiful that you can save from it,en,0.9804286956787108,positive,positive,0.8122,positive,0.8880937,0.018322708,0.093583636,0.8880937
30560,53276,,1,Very bad always stops,very bad always stop,Very bad always stops,en,0.9825093150138856,negative,negative,-0.7397,negative,0.9323258,0.9323258,0.059697237,0.007976956
30561,53277,,3,Very cool 🤩 You can speak English with several situations as if you actually live this situation and this of course develops your English skill in a wonderful way 👌🏻. But: Not free 😐 only the first free experience and the rest you have to pay 💵,very cool 🤩 you can speak english with several situation as if you actually live this situation and this of course develop your english skill in a wonderful way 👌 . but not free 😐 only the first free experience and the rest you have to pay 💵,Very cool 🤩 You can speak English with several situations as if you actually live this situation and this of course develops your English skill in a wonderful way 👌🏻. But: Not free 😐 only the first free experience and the rest you have to pay 💵,en,0.9633176326751708,neutral,negative,-0.6767,positive,0.935984,0.007822263,0.056193676,0.935984
30562,53278,,3,There is nothing wrong with it .. But even if the word is uttered wrongly* I have intentionally because a person mentioned this in the comments* Calculate it correctly 🤦 This is a fatal mistake in the application I hope that the developers will work on it .. The thing that I will have to delete the application for which is that the accent is American and I speak British and the best .. Generally thank you for your efforts,there be nothing wrong with it. but even if the word be uttered wrongly i have intentionally because a person mention this in the comment calculate it correctly 🤦 this be a fatal mistake in the application i hope that the developer will work on it. the thing that i will have to delete the application for which be that the accent be american and i speak british and the best. generally thank you for your effort,There is nothing wrong with it .. But even if the word is uttered wrongly* I have intentionally because a person mentioned this in the comments* Calculate it correctly 🤦 This is a fatal mistake in the application I hope that the developers will work on it .. The thing that I will have to delete the application for which is that the accent is American and I speak British and the best .. Generally thank you for your efforts,en,0.9615885019302368,neutral,positive,0.78,negative,0.69749886,0.69749886,0.26474136,0.037759803
30563,53279,,4,"Wonderful application, I hope it is free, I need such an application, you can rely on ads instead of paying money, I hope you look carefully about this issue and study it seriously, there are students who cannot pay. Thanks and good luck.","wonderful application, i hope it be free, i need such an application, you can rely on ad instead of pay money, i hope you look carefully about this issue and study it seriously, there be student who cannot pay. thanks and good luck.","Wonderful application, I hope it is free, I need such an application, you can rely on ads instead of paying money, I hope you look carefully about this issue and study it seriously, there are students who cannot pay. Thanks and good luck.",en,0.9600640535354614,neutral,positive,0.9359,positive,0.8843708,0.027552165,0.088077016,0.8843708
